App Name,Key,Hash
Zeli,AdjustSdk_AdjustSdk.bundle/Info.plist,u4Fov4k/BjJmrzZ2Q6yqbkYBWlI=
Zeli,AdjustSdk_AdjustSdk.bundle/PrivacyInfo.xcprivacy,DuU58YZVvxd7uGlZDejeOmcLCHE=
Zeli,AppIcon60x60@2x.png,qxAzltUjVjjp/maNlisE/XRific=
Zeli,AppIcon76x76@2x~ipad.png,FxoeibQU38zsVR+RYOh65HtJCv0=
Zeli,Assets.car,KjjA92poKWBRZTMBGEnJPRMMBto=
Zeli,Base.lproj/LaunchScreen.storyboardc/01J-lp-oVM-view-Ze5-6b-2t3.nib,dsIWuSCfo07cMYWAJ0gl3HYF2Zs=
Zeli,Base.lproj/LaunchScreen.storyboardc/Info.plist,n2t8gsDpfE6XkhG31p7IQJRxTxU=
Zeli,Base.lproj/LaunchScreen.storyboardc/UIViewController-01J-lp-oVM.nib,ZVgM1+KwZcZnwhgaI0F7Bt1ba2c=
Zeli,Base.lproj/Main.storyboardc/BYZ-38-t0r-view-8bC-Xf-vdC.nib,CEcMY9xPoeJXryZgLxTrF4kpxyc=
Zeli,Base.lproj/Main.storyboardc/Info.plist,MDrKFvFWroTb0+KEbQShBcoBvo4=
Zeli,Base.lproj/Main.storyboardc/UIViewController-BYZ-38-t0r.nib,RwcaBNajLRA0i59rwMka+gAbuZM=
Zeli,Failed.json,SrV8T9vcftbq9Ta5QAMoHxV+tXg=
Zeli,Frameworks/AdjustSigSdk.framework/AdjustSigSdk,FcmwVdsEqOMTWYqneavPU3FtBSI=
Zeli,Frameworks/AdjustSigSdk.framework/Info.plist,8ZBmnRtnQI6Zf1woXMZAc8N3DbI=
Zeli,Frameworks/AdjustSigSdk.framework/PrivacyInfo.xcprivacy,NUVYytDAElhQJbZto9aT+q3S02E=
Zeli,Frameworks/AdjustSigSdk.framework/_CodeSignature/CodeResources,jW8SeyL7MJPOgQwRussbHnkLWCs=
Zeli,Frameworks/Alamofire.framework/Alamofire,sSIqIFPuC71+IjJc5y88oTIgPDo=
Zeli,Frameworks/Alamofire.framework/Alamofire.bundle/Info.plist,J8G3mKxpi2ZzBNtoXY9t5KgLURU=
Zeli,Frameworks/Alamofire.framework/Alamofire.bundle/PrivacyInfo.xcprivacy,ovFJMFOLMjzh8DLJKmXncj8JIgU=
Zeli,Frameworks/Alamofire.framework/Info.plist,jyfC2dVO7GXUbveK0iNMt5+Zj3I=
Zeli,Frameworks/Alamofire.framework/_CodeSignature/CodeResources,WNv7fptHWF91/5gVJtTBDGeyhEI=
Zeli,Frameworks/AlignedCollectionViewFlowLayout.framework/AlignedCollectionViewFlowLayout,rUJPnDxYeoMU2YJbs2dyiez4NqM=
